acq_id,registration_datetime,acquisition_datetime,data_ecosystem,instrument,instrument_model,modalities_in_study,operator,data_source,sample_id,sample_type,session_id,primary_kind,primary_file_name,original_name,file_format,file_size_mb,file_count,canonical_path,checksum_present,extended_metadata_present,project_hint,ingest_config,notes
ACQ-20191002-XMRI-001,2026-03-10T16:08:05Z,2019-10-02T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC24,cardiac MRI study,,,ACQ-20191002-XMRI-001.zip,HPIC24.rar,.zip,593.6,4,/raw/DICOM/2019/2019-10/ACQ-20191002-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20191023-XMRI-001,2026-03-10T16:10:32Z,2019-10-23T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC25,cardiac MRI study,,,ACQ-20191023-XMRI-001.zip,HPIC25.zip,.zip,1094.5,4,/raw/DICOM/2019/2019-10/ACQ-20191023-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20191023-XMRI-002,2026-03-10T16:12:09Z,2019-10-23T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC26,cardiac MRI study,,,ACQ-20191023-XMRI-002.zip,HPIC26.zip,.zip,605.5,4,/raw/DICOM/2019/2019-10/ACQ-20191023-XMRI-002/,Y,Y,PROJ-0002,,
ACQ-20191213-XMRI-001,2026-03-10T16:13:54Z,2019-12-13T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC28,cardiac MRI study,,,ACQ-20191213-XMRI-001.zip,HPIC28.zip,.zip,662.4,4,/raw/DICOM/2019/2019-12/ACQ-20191213-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20191218-XMRI-001,2026-03-10T16:16:23Z,2019-12-18T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC29,cardiac MRI study,,,ACQ-20191218-XMRI-001.zip,HPIC29.rar,.zip,1444.9,4,/raw/DICOM/2019/2019-12/ACQ-20191218-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200205-XMRI-001,2026-03-10T16:17:30Z,2020-02-05T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC31,cardiac MRI study,,,ACQ-20200205-XMRI-001.zip,HPIC31.rar,.zip,466.5,4,/raw/DICOM/2020/2020-02/ACQ-20200205-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200212-XMRI-001,2026-03-10T16:18:38Z,2020-02-12T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC32,cardiac MRI study,,,ACQ-20200212-XMRI-001.zip,HPIC32.rar,.zip,442.4,4,/raw/DICOM/2020/2020-02/ACQ-20200212-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200219-XMRI-001,2026-03-10T16:19:48Z,2020-02-19T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC33,cardiac MRI study,,,ACQ-20200219-XMRI-001.zip,HPIC33.rar,.zip,429.4,4,/raw/DICOM/2020/2020-02/ACQ-20200219-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200226-XMRI-001,2026-03-10T16:20:58Z,2020-02-26T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC34,cardiac MRI study,,,ACQ-20200226-XMRI-001.zip,HPIC34.rar,.zip,472.1,4,/raw/DICOM/2020/2020-02/ACQ-20200226-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200304-XMRI-001,2026-03-10T16:22:05Z,2020-03-04T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC35,cardiac MRI study,,,ACQ-20200304-XMRI-001.zip,HPIC35.rar,.zip,467.4,4,/raw/DICOM/2020/2020-03/ACQ-20200304-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200702-XMRI-001,2026-03-10T16:23:13Z,2020-07-02T00:00:00Z,DICOM,XMRI,IntelliSpace Portal,MR,RT,collaborator:HPIC,HPIC37 S63090,cardiac MRI study,,,ACQ-20200702-XMRI-001.zip,HPIC37 S63090.rar,.zip,442.6,4,/raw/DICOM/2020/2020-07/ACQ-20200702-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200723-XMRI-001,2026-03-10T16:24:22Z,2020-07-23T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC38 S63270,cardiac MRI study,,,ACQ-20200723-XMRI-001.zip,HPIC38 S63270.rar,.zip,439.5,4,/raw/DICOM/2020/2020-07/ACQ-20200723-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200902-XMRI-001,2026-03-10T16:25:30Z,2020-09-02T00:00:00Z,DICOM,XMRI,IntelliSpace Portal,MR,RT,collaborator:HPIC,HPIC39 S63091,cardiac MRI study,,,ACQ-20200902-XMRI-001.zip,HPIC39 S63091.rar,.zip,421.5,4,/raw/DICOM/2020/2020-09/ACQ-20200902-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20200903-XMRI-001,2026-03-10T16:26:40Z,2020-09-03T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC40 S63100,cardiac MRI study,,,ACQ-20200903-XMRI-001.zip,HPIC40 S63100.rar,.zip,453.3,4,/raw/DICOM/2020/2020-09/ACQ-20200903-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20201029-XMRI-001,2026-03-10T16:27:49Z,2020-10-29T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC41 S63320,cardiac MRI study,,,ACQ-20201029-XMRI-001.zip,HPIC41 S63320.rar,.zip,437.4,4,/raw/DICOM/2020/2020-10/ACQ-20201029-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20201221-XMRI-001,2026-03-10T16:28:58Z,2020-12-21T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC42 S63250,cardiac MRI study,,,ACQ-20201221-XMRI-001.zip,HPIC42 S63250.rar,.zip,437.1,4,/raw/DICOM/2020/2020-12/ACQ-20201221-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20210203-XMRI-001,2026-03-10T16:30:09Z,2021-02-03T00:00:00Z,DICOM,XMRI,Ingenia Elition X,MR,RT,collaborator:HPIC,HPIC43 S66250,cardiac MRI study,,,ACQ-20210203-XMRI-001.zip,HPIC43 S66250.rar,.zip,414.8,4,/raw/DICOM/2021/2021-02/ACQ-20210203-XMRI-001/,Y,Y,PROJ-0002,,
